,id,name,symbol,max_supply,circulating_supply,total_supply,cmc_rank,last_updated,price_usd,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,market_cap,market_cap_dominance,fully_diluted_market_cap,volume_24h_marketcap_ratio
0,1,Bitcoin,BTC,21000000.0,18886337.0,18886337.0,1,2021-11-29T15:53:02.000Z,57036.54917813917,32169767977.312885,33.264,-0.00882364,4.79120375,-2.10537032,-7.13629004,1077211489095.4094,42.0002,1197767532740.92,0.029863929509633725
1,1027,Ethereum,ETH,,118537594.624,118537594.624,2,2021-11-29T15:53:03.000Z,4323.818888797184,19169200305.508533,47.1829,0.10700242,5.71188963,1.88874876,0.8797906,512535090667.8347,19.9836,512535090667.83,0.03740075685458143
2,1839,Binance Coin,BNB,166801148.0,166801148.0,166801148.0,3,2021-11-29T15:52:16.000Z,616.8948367347099,2577166860.495324,-1.1535,-0.17232891,3.51278546,6.81948194,18.5383683,102898766962.62218,4.012,102898766962.62,0.025045653476406343
3,825,Tether,USDT,,73121243701.64124,77351995265.76913,4,2021-11-29T15:52:19.000Z,1.0009047839974516,76269672685.12277,16.1528,0.05880338,-0.02788341,-0.01743898,0.03329294,73187402632.81624,2.8536,77421982113.26,1.042114762123345
4,5426,Solana,SOL,,304047234.1519738,510003428.56135595,5,2021-11-29T15:53:06.000Z,205.08595212615438,2341705637.404237,58.9141,-0.69362183,8.07899869,-8.24150677,6.33524783,62355816507.38135,2.4312,104594538734.11,0.037553924694852456
5,2010,Cardano,ADA,45000000000.0,33313246914.729,33719282563.077,6,2021-11-29T15:52:11.000Z,1.5627069415071189,2201815987.1839476,42.6667,-0.48826311,3.86865803,-13.45430039,-20.64316653,52058842197.78762,2.0294,70321812367.82,0.04229475520831924
6,52,XRP,XRP,100000000000.0,47158974920.0,99990145360.0,7,2021-11-29T15:53:03.000Z,0.9757180753077488,2912859396.5053415,32.4664,0.26568283,5.06463404,-7.89525578,-9.73048032,46013864242.428795,1.794,97571807530.77,0.06330395076489645
7,3408,USD Coin,USDC,,38444918521.152534,38444918521.152534,8,2021-11-29T15:53:07.000Z,1.0000534657145346,4795959058.56981,34.4974,-0.01166869,-0.1332935,0.03474393,-0.02657358,38446974006.19149,1.4988,38446974006.19,0.12474217236959845
8,6636,Polkadot,DOT,,987579314.957085,1103303471.382273,9,2021-11-29T15:52:15.000Z,35.82754485338953,1342761168.5665488,7.7349,-0.03486057,5.5377346,-11.18022862,-16.55676434,35382542202.90467,1.3796,39528654607.85,0.037949821719037394
9,74,Dogecoin,DOGE,,132317865089.4475,132317865089.4475,10,2021-11-29T15:53:03.000Z,0.21419147287498427,1974278382.3097672,115.3902,-0.76598135,7.14959407,-4.1353767,-21.68320082,28341358411.18222,1.105,28341358411.18,0.06966068293786533
10,5805,Avalanche,AVAX,720000000.0,223837065.42022383,394678907.0802238,11,2021-11-29T15:52:18.000Z,110.89117890212648,1255999712.2466986,-13.7051,0.14736234,3.91682692,-20.2518683,77.40427771,24821556066.441032,0.9676,79841648809.53,0.050601167343606694
11,5994,SHIBA INU,SHIB,,549045414674461.4,589736684631894.9,12,2021-11-29T15:52:15.000Z,3.8940847991127556e-05,1769157386.5150442,-12.5593,-0.51362386,0.77597767,-12.9325534,-44.14662281,21380294033.063797,0.8334,22964846591.04,0.0827471027189388
12,4172,Terra,LUNA,,392287435.8116223,868874122.542567,13,2021-11-29T15:53:04.000Z,49.52317631044489,1556875512.790698,-3.8653,3.21287937,4.88718664,18.28890251,13.40045978,19427319848.071304,0.7575,43029406362.26,0.08013846093882378
13,3635,Crypto.com Coin,CRO,30263013692.0,25263013692.0,30263013692.0,14,2021-11-29T15:52:08.000Z,0.7434961739715451,644946567.3812648,-28.6438,-0.8050356,1.1939358,-3.20667982,244.60678069,18782954022.99276,0.7321,22500434892.85,0.034336801686878804
14,3717,Wrapped Bitcoin,WBTC,,253476.14155071,253476.14155071,15,2021-11-29T15:52:12.000Z,56404.061192565445,285690519.06696355,66.5354,-0.03903251,4.88731665,-2.14835495,-8.177995,14297083798.881626,0.5574,14297083798.88,0.01998243299723202
15,2,Litecoin,LTC,84000000.0,69077644.8175727,84000000.0,16,2021-11-29T15:53:02.000Z,199.11168313127723,1757966834.7904425,21.2352,-0.24107463,4.44841553,-7.7524316,3.54560498,13754166126.37145,0.5363,16725381383.03,0.1278134071261374
16,4687,Binance USD,BUSD,,13038146264.91,13038146264.91,17,2021-11-29T15:52:14.000Z,1.00007551444419,6089315141.941482,18.0536,0.01130939,-0.06073281,-0.01713903,-0.03530418,13039130833.278461,0.5084,13039130833.28,0.4670031476638255
17,7083,Uniswap,UNI,1000000000.0,627897702.8572072,1000000000.0,18,2021-11-29T15:52:18.000Z,19.836585469064865,275096462.0100026,51.7446,0.01605428,3.54234614,-9.22153347,-19.93576865,12455346448.556484,0.4856,19836585469.06,0.02208661663055426
18,3890,Polygon,MATIC,10000000000.0,7021682963.27,10000000000.0,19,2021-11-29T15:52:14.000Z,1.7001798333132,1045466227.0717432,29.3273,-0.13964417,7.01920617,8.35145356,-10.49174896,11938123770.070526,0.4653,17001798333.13,0.08757374669651016
19,1975,Chainlink,LINK,1000000000.0,467009553.9174637,1000000000.0,20,2021-11-29T15:52:18.000Z,24.801902734340132,807524762.8817056,17.1797,-0.34396442,4.46459438,-10.0063238,-17.30301936,11582725532.268509,0.4516,24801902734.34,0.06971802626523514
20,4030,Algorand,ALGO,10000000000.0,6267775858.830644,6723250312.700746,21,2021-11-29T15:52:18.000Z,1.8064953080515125,432811904.00063115,31.8683,0.67931911,9.69653074,1.3696261,0.01116237,11322707680.896097,0.4415,18064953080.52,0.038225123901315605
21,1831,Bitcoin Cash,BCH,21000000.0,18913718.75,18913718.75,22,2021-11-29T15:52:09.000Z,567.8346388869235,1236120086.855333,33.1271,-0.34631163,2.4844946,-0.00720334,-3.12399029,10739864656.415083,0.4187,11924527416.63,0.11509643057903714
22,1966,Decentraland,MANA,,1824614334.8740842,2193979327.320146,23,2021-11-29T15:52:20.000Z,4.8567713900068386,2865101570.66881,7.0745,-1.48811308,1.52438319,23.87116324,102.86155897,8861734699.41281,0.3455,10655656027.19,0.3233115939319031
23,6783,Axie Infinity,AXS,270000000.0,60907500.0,270000000.0,24,2021-11-29T15:52:17.000Z,133.7320091331777,422398019.4690215,26.3728,-0.06186366,4.05681108,1.7896166,-10.38560254,8145282346.279021,0.3175,36107642465.96,0.051857996016796644
24,6892,Elrond,EGLD,31415926.0,19800023.07650492,22799127.0,25,2021-11-29T15:52:08.000Z,403.5997534958945,254943591.1938438,-10.9222,-0.12017228,-0.79927137,-17.20450573,55.49558505,7991284432.8904085,0.3115,12679459989.45,0.031902705170216546
25,512,Stellar,XLM,50001806812.0,24336462841.970886,50001802524.57283,26,2021-11-29T15:52:13.000Z,0.32624120492585446,604850907.8741918,2.7024,0.01710336,4.4371458,-7.26631781,-9.06710477,7939556961.197866,0.3096,16312649702.82,0.07618194703183236
